Date,edinetCode,code,Open,High,Low,Close,Volume
2024-01-04,E02144,7203,2418.1911445053074,2446.039794921875,2387.5576290470826,2446.039794921875,29812900
2024-01-05,E02144,7203,2453.9300324960527,2513.804625685383,2453.9300324960527,2507.770751953125,30515500
2024-01-09,E02144,7203,2520.3026473761133,2521.2309356440237,2471.5675133108293,2500.80859375,30486100
2024-01-10,E02144,7203,2491.52578125,2554.6493852459016,2487.3484839267417,2548.1513671875,33701200
2024-01-11,E02144,7203,2624.2711003943336,2661.866777637337,2624.2711003943336,2640.052001953125,49003100
2024-01-12,E02144,7203,2673.4703527053225,2676.255217656057,2618.237197849084,2633.553955078125,34169200
2024-01-15,E02144,7203,2649.335012515902,2650.263300887491,2627.0560915977585,2645.15771484375,4866000
2024-01-16,E02144,7203,2649.3346839967594,2663.723151972215,2627.0557658412154,2649.798828125,23810700
2024-01-17,E02144,7203,2673.4705386837036,2710.6020739431997,2642.372877903876,2651.65576171875,42925400
2024-01-18,E02144,7203,2673.4704929217123,2751.446715631929,2666.9724743625275,2721.27734375,45748100
2024-01-19,E02144,7203,2770.9407199032803,2770.9407199032803,2726.3828791812175,2749.590087890625,38896900
2024-01-22,E02144,7203,2752.3748603273284,2773.2613474630334,2744.484409631618,2768.15576171875,27665300
2024-01-23,E02144,7203,2782.080228233529,2816.4268977178936,2757.9447307580294,2776.510498046875,40894100
2024-01-24,E02144,7203,2784.8649641250636,2801.574153909814,2740.3071246990626,2747.269287109375,28933300
2024-01-25,E02144,7203,2751.446533203125,2751.446533203125,2751.446533203125,2751.446533203125,28781400
2024-01-26,E02144,7203,2738.4505531884724,2738.4505531884724,2681.360821316916,2685.073974609375,33005600
2024-01-29,E02144,7203,2718.956623898892,2779.295367686337,2718.028335532931,2769.54833984375,39361500
2024-01-30,E02144,7203,2738.4505480563125,2769.5482068223755,2720.813069950187,2747.269287109375,30914300
2024-01-31,E02144,7203,2729.1676904296874,2784.864990234375,2728.2394020996094,2784.864990234375,28387200
2024-02-01,E02144,7203,2729.6317846223737,2747.733406727504,2720.8130456480794,2733.80908203125,29852200
2024-02-02,E02144,7203,2750.982477585219,2753.3031984200297,2727.3111250701445,2739.843017578125,24939800
2024-02-05,E02144,7203,2780.687241049374,2791.362555111156,2746.804722505457,2777.438232421875,29891100
2024-02-06,E02144,7203,2784.4005389005183,2922.251340709729,2739.8427039722887,2910.18359375,80031600
2024-02-07,E02144,7203,2965.8807504103956,3122.7614536402416,2961.239309486436,3026.219482421875,90841000
2024-02-08,E02144,7203,3091.199860074627,3164.5346315298507,3047.5703125,3109.765625,65539300
2024-02-09,E02144,7203,3119.0488169575683,3128.331700341371,3059.6383633012338,3084.7021484375,38909900
2024-02-13,E02144,7203,3124.618123372396,3210.948927137587,3109.765511971933,3208.1640625,50279000
2024-02-14,E02144,7203,3205.379712094373,3215.5908840703473,3119.977182840773,3142.256103515625,40613000
2024-02-15,E02144,7203,3170.1047068753232,3171.032995222871,3110.694252632272,3139.47119140625,31611400
2024-02-16,E02144,7203,3193.31151943285,3205.379266453963,3152.466837207546,3169.176025390625,39276000
2024-02-19,E02144,7203,3169.1761960755284,3201.6662859591383,3157.1084484044736,3184.02880859375,18623200
2024-02-20,E02144,7203,3202.594401756783,3223.945031101828,3127.403054932928,3169.176025390625,32113800
2024-02-21,E02144,7203,3156.179983117345,3189.5983594091754,3152.4668301960305,3183.100341796875,27204700
2024-02-22,E02144,7203,3202.5947031261094,3276.857768705845,3197.024973207629,3268.503173828125,45277100
2024-02-26,E02144,7203,3295.423332310659,3348.3357632801544,3269.431260957223,3309.34765625,36879000
2024-02-27,E02144,7203,3341.837851366206,3344.6227162423447,3310.276049436636,3325.128662109375,26141000
2024-02-28,E02144,7203,3330.698447347689,3340.9096187303044,3287.068896894695,3313.9892578125,21824800
2024-02-29,E02144,7203,3304.706443316763,3368.758337864195,3286.140676781276,3361.33203125,42143900
2024-03-01,E02144,7203,3337.1963272094727,3424.455424499512,3328.841732788086,3416.100830078125,29522200
2024-03-04,E02144,7203,3429.09707209922,3438.3799553479994,3375.2563492562977,3399.391845703125,33112100
2024-03-05,E02144,7203,3402.176465550835,3473.654661416432,3379.8975473589603,3461.5869140625,31082800
2024-03-06,E02144,7203,3461.5869748871346,3501.5033706822933,3425.3837321891997,3498.718505859375,31920900
2024-03-07,E02144,7203,3526.5672291239753,3537.7066886526636,3378.969390368852,3397.53515625,44389400
2024-03-08,E02144,7203,3382.6826526250866,3402.1767074289082,3337.1965247495023,3351.120849609375,39889700
2024-03-11,E02144,7203,3249.0089202758722,3276.857568163951,3196.096489288522,3247.15234375,34641400
2024-03-12,E02144,7203,3194.240198193008,3225.802001953125,3154.323799319919,3225.802001953125,40384800
2024-03-13,E02144,7203,3254.579025428054,3282.427676529834,3160.8219000520603,3197.025146484375,32358800
2024-03-14,E02144,7203,3202.5943219056153,3214.6620686258393,3170.104234581935,3197.952880859375,21846100
2024-03-15,E02144,7203,3186.8137717990703,3257.3636834380827,3178.4591769997132,3237.86962890625,33847800
2024-03-18,E02144,7203,3262.933354400472,3319.558940351661,3252.7221831633724,3311.204345703125,26489600
2024-03-19,E02144,7203,3317.7023551764455,3411.45947265625,3303.7780307982566,3411.45947265625,33925900
2024-03-21,E02144,7203,3527.495671147012,3554.416032847871,3505.2167511187154,3526.5673828125,45118200
2024-03-22,E02144,7203,3554.4158787372685,3611.041464687379,3537.7066894405148,3594.332275390625,38840700
2024-03-25,E02144,7203,3573.910004538593,3607.328383801811,3548.8462200911795,3555.34423828125,28829300
2024-03-26,E02144,7203,3554.415615234375,3583.1925502232143,3517.2840862165176,3573.90966796875,30536000
2024-03-27,E02144,7203,3597.117166843409,3611.969779661343,3570.1968061109037,3576.69482421875,35165500
2024-03-28,E02144,7203,3605.811924223266,3619.900796029296,3552.274211360352,3574.81640625,34646300
2024-03-29,E02144,7203,3572.9377454901787,3600.1762298800877,3561.6666485012506,3568.241455078125,12094300
2024-04-01,E02144,7203,3570.1200163511826,3591.72295251958,3396.357268909728,3417.960205078125,38828100
2024-04-02,E02144,7203,3461.1661286568005,3479.951290820474,3396.3573191921278,3412.32470703125,31273800
2024-04-03,E02144,7203,3412.3246128819924,3433.927548774171,3378.511321920321,3400.1142578125,30222400
2024-04-04,E02144,7203,3447.077295840648,3511.8861060349273,3430.17064970301,3444.259521484375,33637800
2024-04-05,E02144,7203,3386.025678682604,3411.3856490915996,3351.2731266406463,3399.17529296875,26966800
2024-04-08,E02144,7203,3442.380947445198,3475.2549810497226,3420.7780110765107,3473.37646484375,23272600
2024-04-09,E02144,7203,3512.825379452463,3546.638671875,3490.283184504105,3546.638671875,22518400
2024-04-10,E02144,7203,3522.2177760486297,3531.610356784759,3495.9185499874666,3512.8251953125,17062700
2024-04-11,E02144,7203,3495.918491382695,3564.4843296070194,3494.9792333248274,3551.334716796875,23458700
2024-04-12,E02144,7203,3581.3909287013453,3583.26944479298,3526.9139620439423,3538.18505859375,21094100
2024-04-15,E02144,7203,3494.9791884861543,3538.18505859375,3461.1658988367317,3538.18505859375,21091500
2024-04-16,E02144,7203,3514.704036262075,3525.035876026608,3409.50712229592,3427.35302734375,29226300
2024-04-17,E02144,7203,3462.105197527888,3466.8014878121094,3353.1512629339554,3378.51123046875,24105100
2024-04-18,E02144,7203,3350.333729321926,3413.264023648971,3342.8196643276524,3383.207763671875,20201900
2024-04-19,E02144,7203,3334.3663663501297,3352.212270846088,3243.2583276076048,3308.067138671875,35457300
2024-04-22,E02144,7203,3324.9735409040018,3390.72160527216,3288.3424764703136,3303.37060546875,26643700
2024-04-23,E02144,7203,3373.815261410567,3375.6937777031117,3279.889446783324,3297.7353515625,21861900
2024-04-24,E02144,7203,3335.30554651331,3400.114356062569,3311.8240937780715,3398.23583984375,29269700
2024-04-25,E02144,7203,3343.759204317987,3385.086565270232,3284.5859375,3284.5859375,27833100
2024-04-26,E02144,7203,3289.2820772958953,3333.427210828993,3257.347299846421,3296.796142578125,30255300
2024-04-30,E02144,7203,3359.726491566344,3418.899756584147,3340.0020698937433,3417.021240234375,35459100
2024-05-01,E02144,7203,3381.3291002080446,3436.745327128121,3358.7869062066575,3386.025390625,27076000
2024-05-02,E02144,7203,3363.483642578125,3401.993229103035,3342.819962003783,3363.483642578125,20164900
2024-05-07,E02144,7203,3428.292055546028,3428.292055546028,3345.6373429739597,3380.389892578125,25496600
2024-05-08,E02144,7203,3331.5484771600613,3450.834255733314,3243.258215853874,3361.604736328125,68295000
2024-05-09,E02144,7203,3376.632930556663,3376.632930556663,3262.0434402846427,3313.70263671875,40742400
