Date,edinetCode,code,Close,Volume,MarketCap,EV,PER,PBR,EPS_calc,BPS,NetAssets,NetIncome,OperatingIncome
2024-01-04,E04425,6758,2576.436767578125,19739500,,,10.582587560905795,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-05,E04425,6758,2591.193115234375,10830500,,,10.643198534602707,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-09,E04425,6758,2624.640380859375,15597500,,,10.780581536430523,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-10,E04425,6758,2724.982666015625,22891000,,,11.192732547505237,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-11,E04425,6758,2821.39013671875,28131500,,,11.588721501350324,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-12,E04425,6758,2867.626220703125,27149000,,,11.77863394686242,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-15,E04425,6758,2837.130126953125,4776500,,,11.653372738655733,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-16,E04425,6758,2829.260009765625,14363000,,,11.621046618605211,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-17,E04425,6758,2836.14599609375,23440500,,,11.649330469455968,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-18,E04425,6758,2801.715087890625,15630500,,,11.507907204019654,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-19,E04425,6758,2857.788818359375,16830000,,,11.738227299594902,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-22,E04425,6758,2911.89501953125,15589000,,,11.96046586515752,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-23,E04425,6758,2891.236328125,18784000,,,11.875611304218351,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-24,E04425,6758,2859.75634765625,13437500,,,11.746308829607532,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-25,E04425,6758,2824.34130859375,15915500,,,11.600843294971453,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-26,E04425,6758,2755.478759765625,19076000,,,11.317993755711923,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-29,E04425,6758,2824.34130859375,13695500,,,11.600843294971453,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-30,E04425,6758,2848.934814453125,16211500,,,11.701859913140249,,243.46,,5004828000000.0,533576000000,28000000.0
2024-01-31,E04425,6758,2891.236328125,19762500,,,11.875611304218351,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-01,E04425,6758,2831.2275390625,16904500,,,11.629128148617843,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-02,E04425,6758,2847.951416015625,14228000,,,11.697820652327383,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-05,E04425,6758,2847.951416015625,11595500,,,11.697820652327383,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-06,E04425,6758,2804.666259765625,17012500,,,11.520028997640782,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-07,E04425,6758,2813.52001953125,14526500,,,11.556395381299803,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-08,E04425,6758,2818.438720703125,16147500,,,11.576598704933561,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-09,E04425,6758,2800.731201171875,14367000,,,11.503865937615522,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-13,E04425,6758,2899.106201171875,25053500,,,11.90793642147324,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-14,E04425,6758,2884.35009765625,21404000,,,11.847326450571963,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-15,E04425,6758,2697.43798828125,69830500,,,11.079594135715313,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-16,E04425,6758,2651.20166015625,53360000,,,10.889680687407582,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-19,E04425,6758,2651.20166015625,20752500,,,10.889680687407582,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-20,E04425,6758,2619.721923828125,22756500,,,10.760379215592398,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-21,E04425,6758,2594.143798828125,29653500,,,10.655318322632567,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-22,E04425,6758,2618.73779296875,26668500,,,10.756336946392631,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-26,E04425,6758,2564.6318359375,38648500,,,10.534099383625646,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-27,E04425,6758,2543.972900390625,25520000,,,10.449243819890844,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-28,E04425,6758,2542.005615234375,23571500,,,10.441163292673847,,243.46,,5004828000000.0,533576000000,28000000.0
2024-02-29,E04425,6758,2546.92431640625,37086000,,,10.461366616307606,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-01,E04425,6758,2600.046630859375,24368000,,,10.679563915466092,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-04,E04425,6758,2562.6640625,20991500,,,10.526016850817383,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-05,E04425,6758,2547.90771484375,17454000,,,10.465405877120471,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-06,E04425,6758,2548.8916015625,21473000,,,10.469447143524603,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-07,E04425,6758,2544.956787109375,16644500,,,10.453285086294976,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-08,E04425,6758,2551.84326171875,22807000,,,10.481570942737,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-11,E04425,6758,2507.57421875,20040000,,,10.299738021646267,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-12,E04425,6758,2543.972900390625,18760500,,,10.449243819890844,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-13,E04425,6758,2557.74560546875,15942000,,,10.505814529979258,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-14,E04425,6758,2568.566650390625,14595500,,,10.550261440855273,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-15,E04425,6758,2570.534423828125,16083000,,,10.558343973663538,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-18,E04425,6758,2622.6728515625,18475500,,,10.772500006417891,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-19,E04425,6758,2648.250244140625,17434500,,,10.87755789099082,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-21,E04425,6758,2641.364013671875,22370500,,,10.84927303734443,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-22,E04425,6758,2646.282958984375,16599000,,,10.869477363773823,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-25,E04425,6758,2567.583251953125,18322500,,,10.54622218004241,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-26,E04425,6758,2579.3876953125,13636500,,,10.59470835173129,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-27,E04425,6758,2598.079345703125,18742500,,,10.671483388249095,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-28,E04425,6758,2552.672119140625,22988500,,,10.484975433913682,,243.46,,5004828000000.0,533576000000,28000000.0
2024-03-29,E04425,6758,2560.569091796875,5762000,,,10.51741186148392,,243.46,,5004828000000.0,533576000000,28000000.0
2024-04-01,E04425,6758,2579.323974609375,13609000,,,9.35588514131588,,275.69,,3819755000000.0,639767000000,612000000.0
2024-04-02,E04425,6758,2572.4140625,16619000,,,9.330821076208785,,275.69,,3819755000000.0,639767000000,612000000.0
2024-04-03,E04425,6758,2567.478759765625,17975500,,,9.312919437649624,,275.69,,3819755000000.0,639767000000,612000000.0
2024-04-04,E04425,6758,2571.427001953125,16424500,,,9.327240748496953,,275.69,,3819755000000.0,639767000000,612000000.0
2024-04-05,E04425,6758,2523.058349609375,15424500,,,9.151794949433693,,275.69,,3819755000000.0,639767000000,612000000.0
2024-04-08,E04425,6758,2527.007080078125,13045000,,,9.166118031405292,,275.69,,3819755000000.0,639767000000,612000000.0
2024-04-09,E04425,6758,2542.80078125,10805500,,,9.223405931481011,,275.69,,3819755000000.0,639767000000,612000000.0
